Tourist Place,Description,Category ,LatFinal,LongFinal,,Latitude,Longitude
Gateway of India,Built to commemorate the visit of King George V and Queen Mary to Mumbai.,Heritage,18.922,72.8347,,18.9220° N,72.8347° E
Chhatrapati Shivaji Maharaj Terminus,A UNESCO World Heritage Site and an historic railway station.,Heritage,18.9398,72.8354,,18.9398° N,72.8354° E
Taj Mahal Palace,Iconic hotel that has hosted many notable figures throughout history.,Cultural,18.9217,72.8332,,18.9217° N,72.8332° E
Elephanta Caves,"Rock-cut caves dating back to the 5th century, showcasing sculptures of Hindu deities.",Heritage,18.9633,72.9315,,18.9633° N,72.9315° E
Haji Ali Dargah,"Mosque and tomb on an islet off the coast of Worli, linked to the mainland by a causeway.",Religious,18.9828,72.8089,,18.9828° N,72.8089° E
Rajabai Clock Tower,"A clock tower in South Mumbai, located within the campus of the University of Mumbai.",Cultural,18.9322,72.8286,,18.9322° N,72.8286° E
Siddhivinayak Temple,"A revered temple dedicated to Lord Ganesha, visited by thousands of devotees daily.",Religious,19.017,72.8304,,19.0170° N,72.8304° E
Kanheri Caves,"A group of caves and rock-cut monuments, dating back to the 1st century BCE.",Heritage,19.2059,72.9069,,19.2059° N,72.9069° E
Tower of Silence,"A Parsi cemetery where the dead are left to be consumed by vultures, following Zoroastrian tradition.",Religious,18.9615,72.8068,,18.9615° N,72.8068° E
Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,"A museum in Fort, Mumbai which documents the history of India from prehistoric to modern times.",Heritage,18.9268,72.8326,,18.9268° N,72.8326° E
Global Vipassna Pagoda,"A meditation hall near Gorai, north-west of Mumbai, known for its peace and tranquility.",Religious,19.2282,72.8059,,19.2282° N,72.8059° E
Girgaon Chowpatty Beach,"Famous beach on the Marine Lines , known for its local delicacies served at food stalls lining the beach.",Beach,18.9547,72.8127,,18.9547° N,72.8127° E
Jehangir Art Gallery,Prime art exhibiton Space in South Mumbai closely associated with the development of contemorary Indian art.,Cultural,18.9274,72.8317,,18.9274° N,72.8317° E
Wankhede Stadium,International Cricket Stadium host to the 2011 Cricket World Cup Finals.,Cultural,18.9389,72.8257,,18.9389° N,72.8257° E
Mahalakshmi Race Course,Oval Shaped Horse racing track in the Mahalakshmi neighbourhood.,Cultural,18.9846,72.8198,,18.9846° N,72.8198° E
Hanging Gardens,Beautiful terraced gardens perched on top Malabar Hills having numerous hedges carved into the shapes of animals.,Cultural,18.9565,72.8048,,18.9565° N,72.8048° E
